HID,Name,Label,Name_kana,Type,Type_desc,Kodomo,TEL,FAX,Add1,Add2,Y,X,Capall,Cap0,Cap1,Cap2,Cap3,Cap4,Cap5,AgeS,AgeE,Owner,Ownership,Open,Close_reg,Close,H24,Extra,Temp,Sick,Holiday,Night,Disabilities,Shanai,Proof,Memo,url,Vacancy,VacancyDate
1,大久保第一保育園,大久保第一保育園,おおくぼだいいちほいくえん,認可,保育園　区立（公設公営）,,03-3203-0346,03-3203-0562,東京都新宿区,大久保3-11-1,35.70838 ,139.70662,116,11,21,21,21,21,21,57日,就学前まで,,区立,7:15,18:15,19:15,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
2,高田馬場第ニ保育園,高田馬場第ニ保育園,たかだのばばだいにほいくえん,認可,保育園　区立（公設公営）,,03-3209-1433,03-3209-1720,東京都新宿区,高田馬場1-4-17,35.71045,139.709,105,9,16,20,20,20,20,57日,就学前まで,,区立,7:15,18:15,19:15,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
3,長延保育園,長延保育園,ちょうえんほいくえん,認可,保育園　区立（公設公営）,,03-3260-1335,03-3260-1348,東京都新宿区,市谷長延寺町8,35.69413,139.73456,74,9,13,13,13,13,13,57日,就学前まで,,区立,7:30,18:30,19:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
4,富久町保育園,富久町保育園,とみひさちょうほいくえん,認可,保育園　区立（公設民営）,,03-3357-7720,03-3357-4326,東京都新宿区,富久町22-21,35.69355,139.71559,149,24,25,25,25,25,25,43日,就学前まで,社会福祉法人　新栄会,区立,7:30,18:30,21:30,,Y,Y,,Y,,Y,,,一時保育（専用室型）あり。,,,
5,戸山第ニ保育園,戸山第ニ保育園,とやまだいにほいくえん,認可,保育園　区立（公設公営）,,03-3203-2385,03-3203-1279,東京都新宿区,戸山2-１８-１０１,35.7021,139.7124,111,14,17,20,20,20,20,57日,就学前まで,,区立,7:30,18:30,19:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
6,中落合第ニ保育園,中落合第ニ保育園,なかおちあいだいにほいくえん,認可,保育園　区立（公設公営）,,03-3952-7165,03-3952-8901,東京都新宿区,中落合2-7-24,35.71777,139.69409,136,17,23,24,24,24,24,57日,就学前まで,,区立,7:15,18:15,19:15,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
7,西早稲田保育園,西早稲田保育園,にしわせだほいくえん,認可,保育園　区立（公設公営）,,03-3209-5294,03-3208-1205,東京都新宿区,西早稲田1-9-30,35.71101,139.72011,79,9,12,13,15,15,15,57日,就学前まで,,区立,7:30,18:30,19:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
8,東五軒町保育園,東五軒町保育園,ひがしごけんちょうほいくえん,認可,保育園　区立（公設公営）,,03-3269-6820,03-3269-6822,東京都新宿区,東五軒町5-24,35.70668,139.73976,174,24,30,30,30,30,30,57日,就学前まで,,区立,7:15,18:15,19:15,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
9,百人町保育園,百人町保育園,ひゃくにんちょうほいくえん,認可,保育園　区立（公設公営）,,03-3367-4991,03-3367-1696,東京都新宿区,百人町2-18-21,35.70375,139.69815,85,9,12,16,16,16,16,57日,就学前まで,,区立,7:15,18:15,20:15,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
10,弁天町保育園,弁天町保育園,べんてんちょうほいくえん,認可,保育園　区立（公設公営）,,03-3268-1337,03-3268-1331,東京都新宿区,弁天町50,35.70324,139.72742,148,23,25,25,25,25,25,57日,就学前まで,,区立,7:30,18:30,19:30,,Y,Y,,,,Y,,,一時保育（空き利用型）あり。,,,
